l_num,c_fg,opac_fg,c_str,label
2,green,0.5,green,RX
7,red,0.8,red,PC
14,yellow,0.2,yellow,CA
245,tan,0.2,tan,CB
15,blue,0.8,blue,M1
16,gold,0.2,gold,V1
17,magenta,0.8,magenta,M2
213,tan,0.2,tan,AY
187,orange,0.8,orange,C1
188,lilac,0.2,lilac,A1
197,magenta,0.8,magenta,C2
138,lilac,0.2,lilac,A2
140,turquoise,0.8,turquoise,C3
152,pink,0.2,pink,A3
41,maroon,0.8,maroon,C4
153,blue,0.2,blue,A4
141,purple,0.8,purple,C5
33,purple,0.2,purple,YS
4349,blue,0.8,blue,JA
58,gold,0.2,gold,JQ
59,violet,0.8,violet,OI
70,white,0.2,white,VV
69,lightBlue,0.8,lightBlue,LB
